Speaker_1,Speaker_2
현자타임이 올때 어떻게하냐,좀 쉬어보는게 어때? 
비트코인이 한개라도 있으면 좋겠다,비트코인 떡상하면 좋은데 너무 위험해!ㅋㅋ
우리나라에서 드론 상용화가 이루어질 수 있을까?,언젠가는 상용화가 되지 않을까? ㅋㅋ
아무도 일하지 않는 세상은 어떤 세상일까,글쎄... 그런 세상이 있을까?
모든 인류가 행복할 수 있을까?,모든 인류는 아니지만 행복한 사람들은 많을거같아!
중국발 스모그 싫다 중국에서 공장 그만 돌렸으면,맞아ㅠㅠ기관지가 안좋을거 같으니까 마스크 꼭 끼자!
우리나라가 좋은 땅이라고 하는데 사실일까,좋은 땅이지!ㅋㅋ삼면이 바단데
시간을 들여서 살을 빼고 싶다,지금도 괜찮아!
정말로 괜찮아보여?,응! 정말 괜찮아! 굳이 시간 할애하지 않아도 돼!
오랜만에 스테이크 같은 것을 먹고싶다,어떤 스테이크? 맛있는거 있음 같이 먹으러 가자
스테이크 뭐먹을까,너가 좋아하는 건 어느 스테이크야? 나는 뉴욕 스테이크 좋아해!
맛있는 것은 왜 다 살이 찌는걸까?,맛있게 먹었으면 됐지!
보드게임 좋아해?,우리 같이 보드게임하는것도 좋겠다
같이 하실?,그래 재밌겠다! 
너 잘함?,나 그래도 못한다는 소리는 안들어!
핸드폰 소독 자주 함?,세균때문에 자주 하고 있어ㅠㅠ
요즘 너무 더워서 밖에서 할 게 없어,덥지만 힘을 내보자 ㅎㅎ
너무 더워서 밖에 나가기 싫어,맞아.. 걸을 때마다 더워서 너무 힘든거 같애 ㅠㅠㅠㅠ
오랜만이다 뭐하고 지내?,그냥 저냥 지내고 있어 ㅋㅋㅋㅋㅋㅋ
고등어 구이 좋아해?,난 고등어 좋아해!! 맛있어!
더위를 극복하는 방법이 뭐라고 생각해?,에어컨을 쐬면서 차가운 걸 먹으면 난 그게 더위를 극복하는거 같애 ㅋㅋㅋ
커피를 매일 마시니까 중독된 것 같아,커피 말고 다른 차 종류를 마셔보는게 어때?
줄이고 싶여도 못줄여,맞아 끊기가 너무 어려워.. 줄일려고 해봐!
이번 년도 여름이 세계에서 가장 더운 날로 지정된거 알아?,매번 여름이 올때마다 갱신하는거 같애 ㅋㅋㅋ
수영장 가고싶다,나도 시원한 수영장에 빠지고 싶어 ㅋㅋ
바다가 좋아? 산이 좋아?,나는 어디든 좋아!! 
자기소개서 쓰는게 너무 어려워,맞아.. 다른 사람꺼를 봐도 너무 어려운거 같애
취업 사진을 꼭 찍어야 하나?,그래도 인상이란게 있으니까... 찍는게 좋은거 같애 ㅋㅋㅋ
별로 친하지 않은 사람이 같이 술먹재,그 사람이랑 무슨 일 있었어?
그 사람이랑 무슨일 있었어?,응ㅜ 같은 자리에 있기 껄끄러워 
요즘 물가가 너무 비싼거 같지 않아?,옛날에 비하면 많이 비싸진거 같애 ㅠㅠ
다 올랐대,정말?? 내려 갈 수는 없는 걸까?
대화 도중에 장난 치면 어때?,글쎄.. 어느 정도 친한지에 따라 다를거 같아
심한 장난이면?,상황에 따라서 다르지 않을까?
지하철에 사람이 너무 많아서 지옥같아,가뜩이나 더운데 피부끼리 닿으니까 너무 힘들어 ㅠㅠ
더워서 그런지 피로도가 두배야,맞아.. 요새 너무너무 힘들어 ㅠㅠ
인터넷 쇼핑몰에서 옷을 샀는데 쇼핑몰 사진이랑 다른거 같아 환불할까?,사진보내줘봐 정말 다른지 봐줄게
아무리 생각해도 사진이랑 달라,너가 보기에 너무 다르다 싶으면 환불하는게 어떨까?
핸드폰에 물이 들어간 것 같아,헐..서비스 센터 가야겠다
나 오늘 엄마랑 싸웠어,무슨 일 있었어?
오늘 엄마가 옥수수를 사왔어 ,옥수수는 여름이 제철이지~
주말은 왜 이렇게 빨리 지나가는걸까?,그니까 주말 하루만 더 있었으면 좋겠다
하루 더 있었으면 좋겠어,나도 그렇게 생각해 ㅜㅜ 좀 더 쉬었으면 좋겠다
넷플릭스 재밌는거 있어?,셀러브리티가 요즘 많이 뜨던데 재밌어보이더라!
그거 말고 재밌는거는?,요새 DP2 광고하던데 그거 한번 보는게 어떨까?
올리브영에서 틴트 사려는데 추천해줘,내가 보는 뷰티 유튜번데 이 사람 너랑 닮은듯! 이 사람거 영상 봐봐~
너 무슨 톤인데?,나 뭐같아보여?! 맞춰바
나 네일 했어,예쁘겠다 보여줘~
이번에 갤럭시 z플립 새로 나온거 봤어?,엄청 예쁘더라! 사고 싶은데 너무 비싸ㅠㅠ
플립5 까지 나왔대,벌써? 플립이 그렇게 많이 나왔구나!
너 플립 살꺼야?,가격이 비싸면 못사지 않을까? 그래도 샀으면 좋겠어!
잠을 잘못 잤더니 허리가 아파,스트레칭 해봐 근육이 굳어서 그럴걸
잘 자는게 중요해,나도 그렇게 생각해! 일단 잘 자고 봐야해!
요즘 근육이 뭉친거 같아 ,요즘 일이 힘들구나ㅠㅠ한의원 가서 침 맞아봐!
지하철 역 안에 있는  빵집 빵  맛있어?,응 맛있어! 다음에 사갈게 같이 먹자
사서 먹어봐야겠다,맛있어! 한번 먹어봐! 생각보다 좋아서 놀랄껄?
나 힘들게 돈 모아서 아이패드 샀어!,돈 힘들게 모았구나~ 고생 많았어! 축하해!
아이패드 10,비싼거 샀네! 그거 좋아? 좋으면 나도 하나 나중에 사봐야겠다!
나 차 사고 났어..,진짜? 다친 데는 없고? 괜찮아?
다치진 않았어,다행이다 ㅜㅜ 그래도 후유증 남아 있을 수도 있으니까 조심해
나 시험에 떨어졌어,떨어져서 어떻게 해.. 다음에 꼭 붙길 기원할게
사람들이 너 싫어해!,왜 날 싫어하지..?
사람들이 너 싫어해!,내가 뭘 잘못했나..?
사람들이 너 싫어해!,슬프다..
취업이 안되어서 너무 힘들어,힘들지ㅠㅠ
나 시험에 떨어졌어,다음엔 꼭 붙을거야!
달이 뜨니까 네 생각이 났어,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ감동적이야 으앙ㅠㅠ 사랑해
난 그냥 니가 좋아,감동이야 ㅠㅠㅠㅠ
나 너랑 별로 안 맞는 것 같아,너무해 ㅠㅠ
나 배탈 난 것 같아,어떡해? 병원갈까?
슬픔을 나누면?,반이 된다.
너 힘들어 보여서 케이크 사왔어,고마워 감동이야 ㅠㅠ
자기야 우리 헤어져,내가 잘못했어 다시 잘해보자
자기야 나 목이 너무 아파,괜찮아? 약 좀 사다줄까?
우울해서 머리 잘랐어,무슨일 있었어?
우울해서 머리 잘랐어,갑자기 왜 그래?
집 가고 싶어,나도.. ㅠㅠ
오늘은 무슨 커피 마실까?,난 스타벅스를 추천해~
오늘 점심 뭐 먹을꺼야?,좀 뜨거운거 먹고 싶은데 닭도리탕 어때?
오늘 저녁에 술 마실래?,나 오늘은 약속있어서.. 미안해 ㅠㅠ 다음에 같이 마시자
그럼 술 언제 마실까,너가 편한 날 어때? 그때가 내가 편하기도 하고
아침에 일어나기 정말 힘들다,맞아.. 아침은 항상 힘들어..ㅠ ㅠ
오늘은 날이 좋은거 같애,그러게 날씨가 화창하다
너는 어떤 장르의 영화 좋아해?,나는 SF 장르 좋아해! 너는 어느 장르를 좋아해?
나 오늘 옷 새로 샀어!!,무슨 좋은 일 있어?
나 잠이 안와..,따뜻한 우유 한잔 마시는거 어때?
나 피곤해,힘들면 가서 자
3시간 밖에 못잤어,피곤할만 했네 ㅜ 빨리 집에 들어가서 자
왜 피곤해?,그러게 ㅠㅠ너무 힘드네
너는 나 어떻게 생각해?,아직 잘 모르겠어 더 대화해봐야 알거같아! 
넌 이성 볼때 뭘 중요하게 생각해?,대화가 잘 되고 공감을 잘 해주는 사람?
내일 지구가 멸망하면 뭐할거야,가족들이랑 시간을 보낼거 같아
나는 멸망하면 그대로 있을거,나같아도 그럴지도 몰라..
벼락맞아도 생각보다 죽을 확률이 높지않더라? 대신 몸에 번개자국 흉터남음,아 진짜? 그건 몰랐어
스모선수 자기 똥싸고 못닦는다던데,아 진짜? 그건 몰랐어
어제 고등학교때 친구 길가다가 봄,그 사람은 너 알아봐?
그 사람은 너 알아봐?,인사 안해서 알아봤는지 모르겠어 궁금하다  
외국여행가면 마약같은거 조심해야 한다더라 음식같은대에 들어가있을수도있데,너무 무섭다 ㅠㅠ
일본여행 가고싶다,나도.. 일본 한번도 안가봤는데 ㅠㅠ
편의점에서 일하는데 중국인들 무조건 중국어로하더라 짜증나게,맞아 중국인들 너무 시끄러운거 같아
일본여행갔는데 지하철 되게 불편해 한국이 편한듯 ㅜㅜ,불편했겠다
집에 바퀴벌레나왔다,으으... 어떻게 됐어?
이번 여름에 모기 엄청물렸어,나는 그래서 모기향 열심히 뿌렸지 ㅎㅎ
저번주말에 축구하다가 다리부러짐,많이 다쳤어?
남자친구가 군대간대ㅜㅜ 기다리는거 너무 힘들거같아,많이 힘들겠다 ㅠㅠ 금방 지나갈거야
한강 가서 치맥하고 싶다,나도.. 맛있겠당
자전거 잘 타고 싶다...,연습 많이 하면 잘 타지 않을까?
다음주에 어디 놀러가지 않을래?,좋아! 어디로 갈까?
한강공원 어때?,좋아! 거기서 만나!  나 공원 좋아해!
좋아하는 가수가 누구야?,나는 발라드 가수면 다 좋아해
어제 집가다가 넘어졌어,많이 다쳤어?
나 다음달에 이사간다,진짜?? 어디로?? 가지마~ㅠㅠ
급한일이 생겨서 먼저 가볼께,에구.. 얼른 들어가
한강에서 라면 먹고 싶다,아.. 진짜 맛있겠다 ㅠㅠㅠ
자동차 새로 사고 싶다,어떤 차로 바꿀꺼야?
무슨 차 사려고?,아직 생각 안해봤어! 그냥 새거 사고싶어서ㅎ
오늘 저녁에 뭐 먹었어?,나 오늘 고기 구워 먹었어
나 오늘 야구보러 잠실간다,재밌게 놀다 와 ㅎㅎ
나 너 좋아해 ,갑자기?
퇴근길에 이상한 사람이 계속 쫓아와,어디 밝은데로 가 빨리
공포영화 봤더니 머리감을때 무서움ㅋㅋㅋ,너도? 나도 ㅋㅋ
불필요한게 너무  많이 쌓였어,나도.. 좀 정리를 해야 하는데
엉덩이 긁었는데 때나옴ㅋㅋ,드럽게 그런말을 왜 하냐
다리털 왁싱할까 완전 수북하게 자랐어,넌 좀 하는게 좋을꺼 같아 ㅋㅋ
아침마다 면도하기 너무 귀찮아,그래도 안하면 더러우니까 해야지
나 술먹고 고성방가 했더니 경찰찾아옴,얼마나 크게 부른거야 ㅋㅋ
너 한번에 술 얼마나 마셔봤어,얼마나 먹나 안재봐서 잘 모르겠어!! ㅋㅋ 술 너무써
프로게이머 되고싶다,난 별로.. 그냥 게임하는게 좋은데 직업이 되면 싫을거 같아
수학문제 푸는데 너무 어려워,그래도 풀게 되면 기분 되게 좋아질껄?
영어실력이 너무 안늘어서 고민이야,나는 영어 실력 늘리려고 어떤 영화는 자막 없이 봐
요새 수업시간에 꾸벅꾸벅 조는거같아,커피라도 사가는게 어때?
외계인이 존재할까??,나는 외계인 안믿어
집에서 혼술 해봤어?,아니 한번도 안해봤어
혼자 밥먹으면 무슨 기분일까?,좀 외롭지 않을까?
너는 밖에서 혼자 밥 먹어봤어?,응 생각보다 괜찮아 도전해봐~
탕수육 부먹이야? 찍먹이야?,난 딱히 상관없어
오늘은 초밥 먹으러 가자,좋아! 어디로 갈까?
어디로 갈까?,너가 지난번에 맛있다고 했던 거기 갈래?
나 오늘 교수님한테 혼났어,무슨 일 있었어?
이거 끝나고 취업을 할까 아니면 대학원을 갈까?,너는 어떤걸 하고 싶은데?
나 오늘 멘토님하고 상담했어,무슨 일 있어?
무슨일로?,별로 말하고싶지는 않아ㅜ 
돈 많이 벌고 싶다,나도.. ㅠㅠ
요리 실력이 쉐프급이었음 좋겠다,그러면 진짜 혼자서 먹고 싶은거 다 먹을 수 있겠다 ㅎㅎ
새벽에 야식이 먹고 싶으면 넌 어떻게 해?,난 그럴때는 유튜브 요리 영상 보면서 허기를 달래지 ㅎㅎ
어제 빨래 돌리다가 실수로 흰 옷들에 검은색 옷이 섞여 들어갔어..,에구.. 색 많이 빠졌어?
빨래 널기 귀찮다,맞아.. 너무 허리도 아프고 힘들어
요새 아무것도 하기 싫어,맞아 너무 열심히 하면 빨리 지치는거 같애
학원 가기 싫다,그래도 가야지.. 얼른 일어나
나 지하철 막차 놓쳤어,다른 방법은 있어?
너는 엄마랑 아빠 중에 누가 더 좋아?,부모님은 둘 다 사랑하지~
너는 네 가족들이랑 친해?,물론! 엄청 친하지 
너는 전생을 믿어?,난 전생은 안믿는 거 같아. 너는 어떤데?
넌 어떤 라면 좋아해?,난 국물 있는 라면!! 너는?
짜장면vs짬뽕,무조건 짜장면이지 ㅋㅋ 너는?
여자친구가 바람을 피고있더라,헐 미친거 아니야?? 너 괜찮아?? 
요즘 슬럼프가 온것같아,많이 힘들어? ㅠㅠ
넌 관상 믿어?,아니 ㅋㅋ 뭔가 사기 같애
할머니가 돌아가셨어,에구.. 좋은 곳에 가셨을꺼야...
꿈에서 너 나왔다?ㅋㅋㅋ,내가 어떤 모습으로 나왔는데?
어떤 모습으로 나왔는데?,히히 뭐했는지는 기억 안나고 나온것만 기억나 
어제 길가다가 새똥맞음,액땜했다 생각하자 ㅋㅋㅋ 좋은 일 있을꺼임
너는 어떤 과일 좋아해?,난 파인애플이랑 멜론 좋아해 ㅋㅋ 넌 어때?
기부를 하면 기부단체에서 돈을 횡령해도 우리는 어캐알아 그래서 난 기부안하고 직접 봉사활동 가는게 좋은거같아,오 그렇구나
시골에서 농사좀 도와달라고 연락오더라 아 귀찮아,그래도 얼굴 비칠겸 한번쯤은 가도 좋을꺼 같애
막노동이라도 할까 요새 돈이 너무 부족하네,그러다 다치면 그 돈 전부 병원비에 들어가지 않을까..?
입을 옷이없다 요즘 ,얼른 주문해라
비오는날에 너무 습해서 불쾌지수 만땅이야,에어컨 틀자.. 너무 습하다 ㅠㅠ
피자시켜먹고싶다 밤만되면 배고픈거같아,맞아 특히 늦게 자면 더 심한거 같애
성형할까 요새 내 얼굴이 못난부분이 너무 많이보여,난 얼굴에 칼대기 너무 무서워
점을 좀 뺄까 몸에 점이 많은듯?,그러다 부작용 일어날까 무섭다 난 ㅠㅠ
지방흡입 할까 고민중이야,너무 무섭다 그건 ㅠㅠ
배에 튼살 자국 너무 많아 레이저로 지워야하나,컴플렉스라면 하는것도 괜찮다고 생각해
가끔씩 살인충동 생김ㅋㅋ,무슨 일 있어..?
두유 1팩 주문했다,두유 좋아해?
자전거 하나 주문했다,헐 좋겠다 자전거 잘타나보다 
요센 쿠팡에서 뭐 시키는게 너무편해서 중독된듯,맞아 ㅋㅋㅋ
당근마켓 이용해봤어?,한번도 이용 안해봤는데 너는?
심심이 이용해봤어?,옛날에 많이 사용해본거 같아. 너는?
어릴때 뭐하고 지냈냐,그냥 친구들이랑 놀러 나갔던거 같아 ㅋㅋ 너는?
빽다방 시킬껀데 뭐 먹을래?,나 과일류를 좋아해! 딸기라떼 먹을래
아이스크림 내기 할래?,좋아! 뭘로 할래?
뭔가 색다른거 해보고 싶어,어떤걸 하는걸 원해? 새로운 시도는 좋은거야!
오늘 영화 보러 갈래?,좋아! 나는 재밌는게 좋은데 어떻게 생각해?
요즘 영화 상영하는거 뭐 있지?,모르지만 뭐든 다 좋아!
벚꽃보러 가자!,그래 좋아! 벚꽃 구경 가자!
당구 한게임 할래?,당구 한게임 좋지 당장 가자
볼링 치러 가자,볼링 좋아 한번 치러가자
몇 치는데??,나 잘은 못쳐ㅎㅎ
탁구 좋아해?,나 탁구 좋지도 싫지도 않아 
스테이크 먹고 싶다,나도 먹고싶다! 오늘이나 내일 먹으러 갈까?
시험 전날인데 공부 하나도 못했어 ㅠㅠ,그래? 나도ㅠㅠ 거의 하질 못했어
요새 좀 무료한거 같애,무료하면 쉬었다가 다시 해봐!
손에 아무것도 안잡혀,손에 안잡히면 나중에 다시 해봐!
나 지금 잘하고 있는거지?,응 잘하고 있어! 못한 부분이 있으면 알려줄게
고양이 좋아해?,고양이 얌전하고 귀여워서 좋아
너 고양이 키워?,안키워봤는데 넘 귀여워서 나중에 키우고싶어!
나 어제 고라니 봤어,무서웠겠다ㅜㅜ
무서운 이야기 들려줄까?,나 무서운 이야기 싫어.. 안들을래
무서운 이야기 해줘,미안 ㅜ 나 아는거 없어 
잘 지내고 있어?,응 나 잘 지내고 있어!
집에 공기청정기 있어?,있어! 있으니까 좋더라
우리 집에 집안 족보 있다,족보가 있어? 부럽다! 중요한게 있네
운전하면서 핸드폰 좀 하지마라,핸드폰 안했으면 좋겠어 언제 위험할지 모르니까
요새 힘든 일 있어?,나 요새 너무 힘든것 같아
좋은 아침,좋은 아침이야
저녁 소화 시킬겸 산책하러 가자,좋아! 지금? 아니면 언제 갈까?
날씨 괜찮나?,산책하기 딱 좋은 날씨인것 같아!
내일 면접인데 너무 떨려,나도 떨려 무서운데 최대한 침착하게 봐야지
교수님한테 피피티로 혼났어,왜 혼내셨대? 혹시 뭐 잘못했거나 안좋아하셔?
나 다음주에 군대 간다,"조심히 가고, 나중에 휴가 나올때 연락해!"
나도 군대 면제였음 좋겠다,나도 면제였으면 좋긴 할것 같아
나 다음달에 전역한다,축하해 벌써 시간이 다 갔구나!
다음달에 부산 놀러갈껀데 같이 갈래?,부산 좋은데 같이 가자!
10박11일로 해외 여행 가고 싶다,나도 해외여행 가고싶다! 어디로 가?
유럽에 좋아 하는 나라 있어?,"나 노르웨이, 핀란드 등 좋아해!"
어제 집 잘 들어갔어?,힘들긴 했는데 잘 들어갔어!
카페인 음료를 너무 마셔서 그런가 잠이 안온다,카페인 음료 너무 많이 마시지마 잠이 최고야
요새 수업 따라잡기 너무 힘들다,너도? 나도 수업 따라가기 너무 힘들다..
통닭 좋아해?,나 통닭 좋아해! 어느 통닭 좋아해?
넌 어느 계절 좋아해?,나는 시원한 가을이 좋아!
날이 너무 덥다,나도 그렇게 생각해.. 아이스크림 먹으러 갈까?
저번주에 비가 왔는데 왜 온도가 떨어지지 않을까?,이미 그날 다 떨어지고 지금은 다시 온도가 올라서 그렇지 않을까?
방구좀 끼지마,나도 방구 끼고 싶지 않은데 미안해
밥먹을때 쩝쩝거리면서 먹는사람 보면 짜증나더라,너도? 나도 밥먹으면서 쩝쩝거리는거 싫더라
면요리 먹을때 후루룩 거리는 사람도 열받아,나도 소리내면서 먹는 사람 별로 보기는 좋지 않은거 같아
드라마 안본지도 오래됬다,그러게.. 요새 취향에 맞는 드라마가 없넹...
일본어 잘하고싶다,같이 학원에서 공부 해보는거 어때?
몇일전에 아는 형 돈주워서 밥얻어먹음ㅋㅋ,그렇게 해도 돼? ㅋㅋㅋ
지금 초코파이 먹는중,초코파이.. 맛있겠당 ㅠㅠㅠㅠ
친구들이랑 당구치러 갔는데 너무 어려워 맨날진다,그래도 친구들이랑 놀러 가니까 재밌지 않아? ㅋㅋ
그냥 안치는게 어때?,너 나한테 왜 그렇게 말해ㅜㅜ
아무말이나 해봐,무슨 일 있어?? 많이 아파?
신발 샀는데 발볼이 너무 좁아 사이즈는 맞는데,그러면 사이즈 바꾸는게 좋을꺼 같아... 그거 되게 불편하더라
수영 배울까 고민중,수영 배우면 살빼는데도 좋아!! 같이 배울래? ㅋㅋ
같이 배울래?,너무 좋지! 같이 하면 재밌겠다 
땀이 너무 많이나는 체질이라 불편해,나도 그래.. 땀이 너무 많이 나서 너무 힘들어 ㅠㅠㅠㅠ
세뱃돈 받을나이를 지나버렸다,그래도 뭔가 세뱃돈은 계속 받고 싶당 ㅋㅋㅋㅋ
밤마다 윗집에서 쿵쾅거리는데 열받네,맞아 그거 소리 나면 너무 불편하고 불안해 ㅠㅠㅠ
요세 요구르트 아줌마들 최신기계타고다님,그러게 옛날에 비해 많이 달라진거 같아!
지하철 탈때 밀치고 들어오는사람 너무 열받아,맞아... 그러다 사고 날까 무서워 ㅠㅠ
고혈압 온거같아,무슨 일 있어??
골프배우고 싶은데 돈 많이들려나?,아마도 그럴껄?
어제 운전면허 시험 떨어졌어 ㅜㅜ,왜?? 어쩌다가 ㅠㅠㅠ
원피스 샀는데 다들 안어울린데...,내 기준에는 잘 어울리는거 같은데 ㅠㅠ
너 삼계탕 잘하냐?,삼계탕은 몰라도 닭죽은 잘 만드는거 같애!
나는 비오는날 산책하는걸 좋아해,나도 ㅋㅋㅋ 뭔가 자유로운 느낌이야 ㅋㅋ
키우던 강아지가 죽었어 ㅜㅜ,ㅠㅠㅠㅠㅠ 많이 힘들겠다 ㅠㅠ 좋은 곳에 갔을꺼야 ㅠㅠ
투명인간이 되면 뭐할거야?,그러게.. 뭐할까..?
가끔 카지노 가고싶다 ㅋㅋ,뭔가 도박은 별로 내키지가 않는다...
미안 어제 너무 시끄럽게 굴었지??,그래도 무슨 일이 있었겠지 하는 마음으로 참았어.. 다음에는 그러지 마
선풍기가 고장나서 땀 뻘뻘 흘리는중,어후;; 너무 덥겠다 ㅠㅠ
에어컨 없어?,모르겠어 진짜 덥다ㅜㅜ
주문한 물건이 안와서 짜증나네 벌써 일주일째야,나라도 그건 너무 짜증이 나겠다... 전화 해보고 여차하면 취소하는게 좋은거 같애..
코카콜라 제로 나오고나서 이것만 마심ㅋㅋ,너도? 나도 살 안찐다고 하길래 이것만 마셔
컴퓨터 성능이 너무 안좋아진것 같아 너 컴퓨터 잘알아?,아니.. 나도 잘 모르는데 ㅠㅠ 아는 사람 소개 시켜줄까?
가끔씩 옛 추억이 떠오른다 ㅋㅋ,난 컴퓨터 잘모르겠다 ㅜ 인터넷에 잘 검색해보고 사는거 추천!
허리디스크 와서 병원갔는데 물리치료 받는데 귀찮더라,아프겠다 ㅜㅜ 빨리 치료 안하면 더 심해져 초기에 치료하자!
나 젓가락질 이상하게 하고있더라,나는 젓가락질 똑바로하는데 알려줄까? ㅋㅋ 
다리떠는사람 보면 미칠거같아,인정! 복떨어지는 행동이야 어른들이 싫어하겠다 ㅋㅋ
책읽다가 침흘리면서 잤어 ㅋㅋ,침대가서 자 ㅋㅋ 많이 피곤했나보다
오늘 지하철에서 노래듣다가 한정거장 더가서 내렸어,바보네 ㅋㅋㅋ 그러다가 지각한다 앞으로는 조심해
무슨 노래였는데?,기억은 안나는데 신나는 노래였어!
흉기난동 뉴스 같은거 보면 어떤생각 들어??,너무 무서웡 ㅜ 나도 얼마전부터 호신용 스프레이 들고다니고있어..
등산가려고 하는데 산 추천좀,악 들어간 산만 피해서 가자 ㅋㅋㅋ 설악산 가봤는데 죽는줄 알았어
빨리 겨울와서 보드타고싶다,난 보드는 잘 못타는데 스키는 짱 잘탐 ㅎㅎㅋㅋ
집에서 뭐 잃어버렸는데 찾을 엄두가 안나,가끔 주머니에 넣어놓고 못찾을 때 있어 ㅋㅋㅋ 주머니 먼저 찾아봐 ㅋㅋ
핸드폰도 바꿔야하는데 너무비싸,나는 작년에 아이폰샀는데 너무 이쁜거같아 ㅎㅎ
야 장난하냐??,헉 왜?? 화났어??
진짜 더이상 할말이없다,미안 ㅜㅜ 앞으로 더 잘할게
고구마랑 감자랑 뭐가 더 좋아?,나는 둘다 좋아서 고민이네... 그래도 감자튀김 좋아하니까 감자!
너 형제 자매 있어?,응 한명 있어!
다리에 쥐났더니 너무아프네,그럴때는 천천히 마사지해주면 풀린데!
헤어드라이기가 고장나서 출근할때 머리를 못말렸어,으 아침에 지하철에서 머리젖은 여자 앞에 탔을때 짜증났는데 너도 조심해라
왜 고장났는데?,잘 모르겠어ㅜㅜ 속상해  
너무 웃긴일이 생겨서 하루종일 웃었더니 광대뼈가 아프네 ㅋㅋ,뭔데뭔데 ㅋㅋ 궁금하다 빨리알려줘
우리엄마 요리를 너무 못하는것 같아 차라리 내가 밥을 차리겠어,엄마가 힘들게 요리해줬는데 너무하는구만 너가 요리해드리자!
오늘 일 많이했어,어떤일 했는데? 고생많았어~ 내일도 힘내자 ㅋㅋ
가끔씩 일탈을 하고싶네,나도 가끔 그럴때 있어 ㅜㅜ 답답할때 그런거같아
나 목이 아픈것 같아,괜찮아? 목 많이 아파?
많이 아프면 병원을 가 ,알겠어ㅜㅜ 근데 기분 안좋아?
나 시험 떨어졌어,속상하겠다ㅜㅜ 많이 어려웠나?
나 차 사고났어,괜찮아? 놀랬겠다 안다쳤어?
너 힘들어보여서 선물 사왔어,고마워 감동이야ㅜㅜ
너꺼 숙제 베껴도 돼?,나도 아직 안했어ㅜㅜ 미안
지금 많이 시끄러워?,아니야 근데 조금만 조용히 해줄 수 있을까?
나 위로해줘,다 잘될거야! 걱정하지마
취준하느라 힘들어,힘들지ㅠㅠ
네가 좋아,고마워 나도 네가 좋아
내가 왜 좋아?,그냥 보기만 해도 좋아
친구들이랑 싸워서 속상해,속상했겠다ㅜㅜ 괜찮아?
나 힘들게 돈모아서 아이패드 샀어,돈 모으느라 고생 많았어! 축하해!
사람들이 너 싫어해,속상해...내가 뭘 잘못했나...?
너 왜 늦었어?,미안해ㅜㅜ 많이 기다렸어?
미안,뭐가 미안한데?
너 대충 했는데도 잘한다 능력자네,대충한거 아닌데...
열심히 만들어본건데 별로 맛 없니?,아냐 준비하느라 수고 많았어!
오늘 너무 피곤해서 드라이샴푸로 대충 하고 나왔어,엄청 피곤했구나ㅜㅜ 그래도 티 안나고 괜찮다
드라이샴푸 좋아?,바쁠때 진짜 편리해!! 
밖에 너무 춥다,추우니까 같이 갔다오자!
나 우울해서 머리 잘랐어,무슨일 있었어?
나 갑자기 배가 아파,많이 아파? 어떡하지ㅜㅜ
나 기분 좋아서 피자시켰어,좋은일 있어?
나 머리 바꿨어 어때?,응 예쁘다! 너 예뻐서 다 잘어울려!
너는 머리숱 적어서 볼륨 주는게 더 나아,헉 그래?? 조언 고마워!!
무릎 다쳤어ㅜㅜ,괜찮아? 너무 아프겠다ㅜㅜ
어쩌다 다쳤어? 약 발랐어?,응응 걱정 고마워ㅠ
나 아끼는 물건 잃어버렸어,너가 아끼던건데ㅜㅜ 어떡해
그거 어디서 마지막으로 봤어?,음...그러니까 정신이 너무 없었나봐 ㅎㅎ
어디더라.. 기억안나,ㅋㅋ정신이 너무 없었나? 천천히 잘 찾아봐~
오늘 일이 너무 많아서 힘들었어,"힘들었겠다, 너무 고생했어"
요즘 일이 많이 힘든가봐,응 그런거같아ㅠㅠ걱정 고마워
이번달에 여행 가려고!,와 부럽다. 나도 여행 가고싶어!
어디 갈거야?,마음 시원하고싶어!! 바다 갈까봐!
나 요즘 식욕이 없어,어떡해.. 건강이 제일 중요해!
어떤일이 널 스트레스 받게 해?,여러가지로...그래도 견뎌내야지~
나 요즘 기분이 안좋아 ,무슨일 있었어? 다 말해봐
어떤게 기분 안좋게해?,물어봐 줘서 고마워 다 말은 못하지만 
내일 아빠 생일인데 케이크 뭐 사갈까,고구마 케이크 어때? 어른들은 그런거 좋아할거같아!
고구마 케이크 어디가 맛있는지 알아?,잘은 모르겠는데 너가 사드리는건 뭐든 좋아실거 같아!
밖에 비가 너무 많이 와,나는 비오면 조용해져서 기분좋더라 습한건 싫지만 ㅋㅋ
핸드폰 충전기가 없어,집어디에 있을듯 ㅋㅋ 잘찾아봐~
왜이렇게 홈쇼핑을 좋아해,집에서 쇼핑하는게 요센 너무 편해ㅋㅋㅋ
밖에 나가는 것도 힘들어,맞아... 힘들땐 집안에서 안나가는게 편하더라
난 전시회 왜 가는지 이해가 안돼,왜?? 난 좋던데 ㅋㅋ 다음에 나랑한번 가보자
에어컨 없이 어떻게 사냐,인정 여름에 더울땐 에어컨이 짱!
장수군에 지진났던데,헐... 피해가 크지않았으면 좋겠다 ㅜㅜ
지진 규모에 따라 다를거 같아,그래두 걱정되네.. 많이 안다쳤길!
재난문자가 너무 많이 와,그렇긴해!  그럼 알람을 꺼두는것도 좋은 방법인 것 같아
사람들 너무 수도권에서만 모여사는거 같아,솔직히 서울이 좋긴한 것 같아 그래도 양극화가 너무 심해지면 안될텐데..
